"notation","title","description","id","title_en","description_en"
"S ","Sachkompetenz","Die Sachkompetenz der Lernenden zeigt sich in der Kenntnis naturwissenschaftlicher Begriffe, Konzepte, Gesetzmäßigkeiten, Theorien und Verfahren verbunden mit der Fähigkeit, diese zu beschreiben, zu erklären, sachgerecht zu nutzen und auf fach- und alltagsbezogene Sachverhalte zu übertragen.\n\nDas wissenschaftliche Vorgehen der Physik lässt sich im Wesentlichen in zwei fundamentale Bereiche einteilen, die eine starke Wechselwirkung und gegenseitige Durchdringung aufweisen: die theoriebasierte Interpretation von Phänomenen und das experimentelle Arbeiten. Die Vertrautheit mit physikalischem Fachwissen sowie mit der Nutzung physikalischer Grundprinzipien und Arbeitsweisen bildet eine unverzichtbare Grundlage für das Verständnis wissenschaftlicher sowie alltäglicher Sachverhalte aus vielen Bereichen, z. B. aus den anderen Naturwissenschaften, der Technik oder auch der Medizin. Daher leistet physikalische Sachkompetenz einen wichtigen Beitrag zur Allgemeinbildung.\n\nSachkompetenz zeigt sich in der Physik in der Nutzung von Fachwissen zur Bearbeitung von sowohl innerfachlichen als auch anwendungsbezogenen Aufgaben und Problemen. Dazu gehört die modellhafte Erklärung von Phänomenen ebenso wie die qualitative und quantitative Auswertung von Messergebnissen, auch anhand eines Vergleichs der experimentellen Ergebnisse mit den theoretischen Vorhersagen. Ein angemessener Grad der Mathematisierung ist hierbei zu berücksichtigen. Dies bedeutet insbesondere, dass der Grad der Mathematisierung nicht über die Bildungsstandards der Mathematik für den Mittleren Schulabschluss hinausgeht.\n\nFertigkeiten wie das Durchführen eines Experiments nach einer Anleitung, der Umgang mit Messgeräten oder die Anwendung bekannter Auswertungsverfahren sind Bestandteile der Sachkom-petenz. Die Planung und Konzeption von Experimenten hingegen ist dem Kompetenzbereich Erkenntnisgewinnung zugeordnet.","v2p",,
"S 1","Modelle und Theorien zur Bearbeitung von Aufgaben und Problemen nutzen","Die Lernenden…","g3b",,
"S 1.1","erklären Phänomene unter Nutzung bekannter physikalischer Modelle und Theorien;","","v4p",,
"S 1.2","beschreiben einfache Modelle, deren Aussage- und Vorhersagemöglichkeiten sowie deren Grenzen.","","p4u",,
"S 2","Verfahren und Experimente zur Bearbeitung von Aufgaben und Problemen nutzen","Die Lernenden…","z3d",,
"S 2.1","bauen einfache Versuchsanordnungen auch unter Verwendung von digitalen Messwerterfassungssystemen nach Anleitungen auf, führen Experimente durch und protokollieren ihre Beobachtungen;","","q7b",,
"S 2.2","erklären bekannte Messverfahren sowie die Funktion einzelner Komponenten eines Versuchsaufbaus;","","u5s",,
"S 2.3","wenden bekannte Auswerteverfahren auf Messergebnisse an;","","r4c",,
"S 2.4","wenden bekannte mathematische Verfahren auf physikalische Fragestellungen und Probleme an.","","g7f",,
"E ","Erkenntnisgewinnungskompetenz","""""Die Erkenntnisgewinnungskompetenz der Lernenden zeigt sich in der Kenntnis von naturwissenschaftlichen Denk- und Arbeitsweisen und in der Fähigkeit, diese zu beschreiben, zu erläutern und zu verknüpfen, um Erkenntnisprozesse nachvollziehen oder gestalten zu können und deren Möglichkeiten und Grenzen zu reflektieren. Physikalische Erkenntnisgewinnung ist zum einen bestimmt durch die theoretische Beschreibung der Natur, die mit der Bildung von Fachbegriffen und Modellen einhergeht. Modelle stellen gegenständliche, symbolische oder auch nur gedankliche Repräsentationen von Elementen der Wirklichkeit dar (z. B. Funktionsmodelle, Denkmodelle, mathematische Gleichungen und Zusammenhänge, Diagramme oder Simulationen). Modelle werden für einen bestimmten Zweck geschaffen oder verwendet wie beispielsweise, um Vorhersagen zu ermöglichen. Bei Modellen bestehen Analogien zwischen bestimmten Elementen des Modells und Elementen der Realität. Zum anderen sind empirische Methoden, vor allem das Experimentieren, mit denen Gültigkeit und Relevanz der theoretischen Beschreibung abgesichert werden, grundlegend für physikalische Erkenntnisgewinnung.""""","g9a",,
"E 1","Fragestellungen und Hypothesen auf Basis von Beobachtungen und theoretischen Überlegungen bilden","Die Lernenden…","t9v",,
"E 1.1","beobachten und beschreiben physikalische Phänomene oder Sachverhalte;","","b9b",,
"E 1.2","identifizieren und formulieren Fragestellungen zu physikalischen Sachverhalten;","","z9r",,
"E 1.3","stellen Hypothesen zur Bearbeitung von Fragestellungen auf.","","s2h",,
"E 2","Fachspezifische Modelle und Verfahren charakterisieren, auswählen und zur Un-tersuchung von Sachverhalten nutzen","Die Lernenden…","y5z",,
"E 2.1","planen geeignete Experimente und Auswertungen zur Untersuchung physikalischer Fragestellungen, auch mithilfe digitaler Messwerterfassung und -auswertung;","","h7f",,
"E 2.2","entwickeln einfache geeignete Modelle (z. B. Denkmodelle, grafische Darstellungen, mathematische Gleichungen), auch mithilfe digitaler Werkzeuge, wobei sie Hypothesen und experimentelle Erkenntnisse aufeinander beziehen.","","e5e",,
"E 3","Ergebnisse interpretieren und Erkenntnisprozesse reflektieren","Die Lernenden…","y9t",,
"E 3.1","werten in Experimenten gewonnene oder recherchierte Daten auch mithilfe von digitalen Hilfsmitteln aus, identifizieren Zusammenhänge und erklären diese mithilfe bekannter Modelle (z. B. Denkmodelle, grafische Darstellungen, mathematische Gleichungen);","","d2v",,
"E 3.2","differenzieren zwischen Beobachtung und Interpretation experimentell gewonnener Daten;","","u6c",,
"E 3.3","interpretieren Messergebnisse unter Berücksichtigung von Messunsicherheiten und beschreiben Möglichkeiten zur Verbesserung des Messprozesses;","","x2c",,
"E 3.4","beurteilen die Eignung von Verfahren und Modellen für die Lösung von einfachen physikalischen Problemen;","","s2e",,
"E 3.5","übertragen gewonnene Erkenntnisse auf Alltagssituationen und reflektieren ihre Anwendbarkeit.","","x6e",,
"K ","Kommunikationskompetenz","""""Die Kommunikationskompetenz der Lernenden zeigt sich in der Kenntnis geeigneter Fachsprache, fachtypischer Darstellungen und Argumentationsstrukturen sowie in der Fähigkeit, diese zu nutzen, um fachbezogene Informationen zu erschließen, adressaten- und situationsgerecht darzustellen und auszutauschen. Die physikalische Fachsprache setzt sich dabei aus etablierten Satzstrukturen, Fachbegriffen, Symbolen und standardisierten Einheiten zusammen. Für gesellschaftliche Diskussionen sind vor allem die physiktypische Nutzung bestimmter Arten von Abbildungen, Diagrammen und Symbolen, die Betonung logischer Verknüpfungen sowie der Wechsel zwischen situationsspezifischen und verallgemeinerten Aussagen und mehreren Darstellungsformen relevant.\n\nGrundlegend für eine hohe Kommunikationskompetenz im Fach Physik ist die sinnvolle Auswahl von Quellen und die Entnahme der nötigen Informationen sowie die überzeugende Präsentation und die reflektierte Beteiligung an Diskussionen. Die sprachliche sowie mathematische Darstellung von Zusammenhängen und Lösungswegen ist dagegen Ausdruck von Sach- bzw. Erkenntnisgewinnungskompetenz, die Berücksichtigung von überfachlichen Aspekten für die Meinungsbildung und die Entscheidungsfindung sind der Bewertungskompetenz zugeordnet. """"","c4r",,
"K 1","Informationen erschließen","Die Lernenden…","s2a",,
"K 1.1","recherchieren zu physikalischen Sachverhalten zielgerichtet in analogen und digitalen Medien und wählen für ihre Zwecke passende Quellen aus;","","u7p",,
"K 1.2","differenzieren zwischen fiktiven Aussagen und auf empirischer Evidenz beruhendem naturwissenschaftlichen Wissen;","","s6z",,
"K 1.3","prüfen Quellen hinsichtlich der Kriterien Korrektheit und Relevanz für den untersuchten Sachverhalt;","","u3e",,
"K 1.4","differenzieren zwischen alltagssprachlicher und fachsprachlicher Beschreibung von Phänomenen;","","u4v",,
"K 1.5","entnehmen unter Berücksichtigung ihres Vorwissens aus Beobachtungen, Darstellungen und Texten relevante Informationen und geben diese in passender Struktur und angemessener Alltags- oder Fachsprache wieder.","","z6y",,
"K 2","Informationen aufbereiten","Die Lernenden…","z3y",,
"K 2.1","formulieren unter Verwendung von Alltags- oder Fachsprache chronologisch und kausal korrekt strukturiert;","","t2r",,
"K 2.2","wählen ziel-, sach- und adressatengerecht geeignete Schwerpunkte für die Inhalte von Präsentationen, Diskussionen oder anderen Kommunikationsformen aus;","","y9u",,
"K 2.3","veranschaulichen Informationen und Daten in ziel-, sach- und adressatengerechten Darstellungsformen, auch mithilfe digitaler Werkzeuge;","","z5g",,
"K 2.4","prüfen die Urheberschaft, dokumentieren verwendete Quellen und kennzeichnen Zitate.","","h9b",,
"K 3","Informationen austauschen und diskutieren","Die Lernenden…","x2p",,
"K 3.1","präsentieren physikalische Sachverhalte sowie Lern- und Arbeitsergebnisse sach-, adressaten- und situationsgerecht unter Einsatz geeigneter analoger und digitaler Medien;","","u3g",,
"K 3.2","tauschen sich mit anderen über physikalische Sachverhalte aus, vertreten den eigenen Standpunkt mithilfe fachlicher Argumente, reflektieren ihn und korrigieren diesen gegebenenfalls.","","q5r",,
"B ","Bewertungskompetenz","""""Die Bewertungskompetenz der Lernenden zeigt sich in der Kenntnis von einfachen fachlichen und überfachlichen Perspektiven und Bewertungsverfahren und in der Fähigkeit, diese in bekannten alltagsnahen Situationen (wie z. B. der Nutzung von Energie im Haushalt oder Sicherheitsaspekten im Alltag) zu nutzen, um Aussagen anhand von Kriterien zu beurteilen (Sachurteil) und sich dazu begründet eine eigene Meinung zu bilden (Werturteil). Im Zentrum des Bewertungsprozesses stehen das Entwickeln und Reflektieren einfacher geeigneter Kriterien als Grundlage für eine Entscheidung oder Meinungsbildung bei bekannten alltagsnahen Situationen.\n\nUm selbstbestimmt an gesellschaftlichen Meinungsbildungsprozessen teilhaben zu können, wen-den die Lernenden ein Bewertungsverfahren an. Dieses umfasst in den Naturwissenschaften ty-pischerweise die folgenden Schritte:\n\n\tWahrnehmen,\n\n\tAnalysieren,\n\n\tArgumentieren,\n\n\tGewichten,\n\n\tEntscheiden,\n\n\tReflektieren.\n\nDie Lernenden formulieren zu alltagsnahen oder gesellschaftlichen Fragestellungen mit fachlichem Bezug kriteriengeleitet einen eigenen Standpunkt und treffen sachgerechte Entscheidungen. Dazu tragen sie angeleitet relevante physikalische, aber auch nicht physikalische (z. B. ökonomische, ökologische, soziale, politische oder ethische) Kriterien zusammen, sammeln geeignete Belege und wägen sie unter Berücksichtigung von Normen, Werten und Interessen gegeneinander ab. Physikalisch kompetent bewerten heißt also, über die rein sachliche Beurteilung von physikalischen Aussagen hinauszugehen, weshalb rein innerfachliche Bewertungen, z. B. der Anwendbarkeit eines Modells, der Güte von Experimentierergebnissen oder der Korrektheit fachwissenschaftlicher Argumentationen, den anderen drei Kompetenzbereichen zugeordnet sind.""""","a9c",,
"B 1","Sachverhalte und Informationen kriteriengeleitet beurteilen","Die Lernenden…","g3c",,
"B 1.1","prüfen vorgegebene Sachverhalte und Informationen hinsichtlich Schlüssigkeit und überzeugender Argumentation;","","g4h",,
"B 1.2","formulieren relevante Kriterien für den Bewertungsprozess;","","d3q",,
"B 1.3","beurteilen anhand vorgegebener Kriterien Sachverhalte und Informationen sowie deren Darstellung aus Quellen unterschiedlicher Art hinsichtlich Vertrauenswürdigkeit und Relevanz.","","g3e",,
"B 2","Kriteriengeleitet Entscheidungen treffen","Die Lernenden…","v6v",,
"B 2.1","bilden sich reflektiert und rational in überfachlichen Kontexten ein eigenes Urteil;","","d4f",,
"B 2.2","treffen begründete Entscheidungen unter Berücksichtigung fachlicher und überfachlicher Kriterien.","","d9g",,
"B 3","Entscheidungen und deren Folgen reflektieren","Die Lernenden…","x6q",,
"B 3.1","reflektieren Entscheidungen unter Berücksichtigung der nachhaltigen Entwicklung unter fachlichen, ökonomischen, ökologischen und sozialen Aspekten und formulieren einfache Handlungsoptionen;","","v5u",,
"B 3.2","benennen Auswirkungen physikalischer Erkenntnisse in historischen und gesellschaftlichen Zusammenhängen.","","s6v",,
